2360950	 1720.0	 1136.0	  827.0	...
2360951	 1720.0	 1137.0	  827.0	...
2360952	 1719.0	 1137.0	  827.0	...
2360953	 1719.0	 1137.0	  827.0	...
2360954	 1719.0	 1138.0	  826.0	...
2360955	 1719.0	 1139.0	  825.0	...
2360956	 1718.0	 1140.0	  824.0	...
2360957	 1718.0	 1140.0	  823.0	...
2360958	 1717.0	 1139.0	  823.0	...
2360959	 1717.0	 1138.0	  823.0	...
2360960	 1717.0	 1137.0	  823.0	...
2360961	 1716.0	 1137.0	  823.0	...
2360962	 1716.0	 1137.0	  823.0	...
2360963	 1716.0	 1137.0	  823.0	...
2360964	 1716.0	 1138.0	  822.0	...
2360965	 1716.0	 1140.0	  822.0	...
2360966	 1716.0	 1142.0	  824.0	...
2360967	 1716.0	 1142.0	  824.0	...
EFIX R   2360851	2360967	117	 1720.0	 1136.0	    841
MSG	2360968 CUE_ON 100.703 pos=(1920.0,540.0)
MSG	2360968 DRIFT_CORRECT_START 100.703 pos=(1920.0,540.0)
2360968	 1716.0	 1141.0	  823.0	...
INPUT	2360969	127
END	2360969 	SAMPLES	EVENTS	RES	  99.00	 104.00
INPUT	2361067	127
MSG	2364698 DRIFTCORRECT R RIGHT at 1920,540  OFFSET 1.10 deg.  54.5,-98.5 pix.
MSG	2364751 DRIFT_CORRECT_END 104.486 result=PASS error=OK duration=3.783
MSG	2364751 DRIFT_CORRECT_OK
MSG	2366383 STIM_ON 106.118
MSG	2370400 STIM_OFF 110.135
MSG	2370400 ITI_ON 110.135
MSG	2370902 ITI_OFF 110.637
MSG	2370902 TRIAL_END 110.637
MSG	2370902 RECORDING_STOP 110.637
INPUT	2370902	127
MSG	2370956 TRIAL_RESULT OK
MSG	2370958 RECCFG CR 1000 2 1 R
MSG	2370958 ELCLCFG MTABLER
MSG	2370958 GAZE_COORDS 0.00 0.00 3839.00 2159.00
MSG	2370958 THRESHOLDS R 83 225
MSG	2370958 ELCL_WINDOW_SIZES 176 188 0 0
MSG	2370958 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	2370958 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2370958 ELCL_PROC CENTROID (3)
MSG	2370958 ELCL_PCR_PARAM 5 3.0
START	2370959 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
INPUT	2370959	127
MSG	2370959 !MODE RECORD CR 1000 2 1 R
2370959	 1946.0	 1083.0	  674.0	...
2370960	 1946.0	 1083.0	  674.0	...
2370961	 1947.0	 1083.0	  673.0	...
2370962	 1947.0	 1082.0	  673.0	...
2370963	 1947.0	 1081.0	  673.0	...
2370964	 1947.0	 1083.0	  672.0	...
2370965	 1946.0	 1085.0	  671.0	...
SFIX R   2370966
2370966	 1946.0	 1086.0	  669.0	...
2370967	 1946.0	 1086.0	  669.0	...
2370968	 1946.0	 1086.0	  670.0	...
2370969	 1945.0	 1085.0	  670.0	...
2370970	 1946.0	 1085.0	  671.0	...
